     X         I1 (Y=0.2522)     Error1      I2 (Y=0.3649)     Error2      I3 (Y=0.4692)     Error3      I4 (Y=0.5576)     Error4      I5 (Y=0.6193)     Error5      I6 (Y=0.7467)     Error6      I7 (Y=0.8707)     Error7      I8 (Y=0.9907)     Error8       I9 (Y=1.106)     Error9      I10 (Y=1.217)    Error10      I11 (Y=1.321)    Error11      I12 (Y=1.420)    Error12      I13 (Y=1.513)    Error13      I14 (Y=1.598)    Error14      I15 (Y=1.676)    Error15      I16 (Y=1.749)    Error16    
-1.46032E+001   1.05087E-004   9.99090E-005  -4.93804E-005   6.70321E-005   1.06435E-004   5.51051E-005  -6.67019E-005   9.76678E-005  -2.99557E-006   1.21657E-004  -1.13437E-004   7.64524E-005  -1.13050E-004   4.46142E-005  -1.83147E-005   6.56540E-005   1.43611E-005   6.87471E-005   4.22453E-005   5.71001E-005  -3.27840E-005   7.28928E-005   1.01057E-004   8.13014E-005   1.09037E-004   8.75350E-005   9.13876E-005   1.63288E-004  -5.66378E-005   1.58550E-004  -4.32017E-004   3.32547E-004
-1.45055E+001   1.13062E-004   8.60084E-005   1.52009E-005   5.88067E-005   1.05550E-005   4.49445E-005   1.54768E-005   8.75370E-005  -1.19411E-004   9.61018E-005   9.39937E-005   8.12936E-005  -5.25915E-008   4.75191E-005   3.46812E-006   5.79840E-005  -2.28193E-007   5.78325E-005  -8.77954E-006   4.50293E-005   1.57072E-004   7.67758E-005  -3.66820E-005   5.87417E-005  -4.22523E-005   6.33554E-005  -7.08934E-005   1.27183E-004   1.50182E-006   1.40302E-004   1.98860E-004   3.33642E-004
-1.44078E+001   1.40927E-004   8.61071E-005   8.56225E-005   5.97034E-005   2.26705E-005   4.48957E-005   2.16835E-005   8.71207E-005  -2.60001E-005   1.02008E-004   1.09970E-005   7.47832E-005   5.99339E-005   5.14011E-005   7.66536E-005   6.27208E-005   1.52753E-005   5.86291E-005   1.79393E-005   4.68055E-005  -3.43846E-005   6.18985E-005  -7.04159E-005   5.52184E-005   5.10071E-005   7.03539E-005   1.77068E-004   1.45531E-004   9.24335E-005   1.45577E-004  -3.88294E-004   2.86284E-004
-1.43101E+001   4.38640E-005   9.59346E-005   1.22329E-004   6.94918E-005   9.97559E-005   5.38457E-005   1.89361E-004   1.08454E-004   1.08794E-004   1.27680E-004   7.89404E-005   9.16370E-005  -4.59909E-005   5.01285E-005  -5.26188E-005   6.11680E-005  -3.64853E-005   6.24688E-005  -5.63879E-005   4.66534E-005  -1.28842E-004   6.13995E-005   2.79014E-006   7.09046E-005   9.17728E-005   8.44698E-005   1.44616E-004   1.64724E-004  -1.90044E-004   1.43307E-004   1.26486E-003   4.60276E-004
-1.42125E+001   6.94257E-005   8.27943E-005   8.37028E-005   5.87321E-005   2.88996E-005   4.43364E-005  -7.54798E-005   8.12977E-005   1.07825E-004   1.09246E-004   2.67583E-005   7.47450E-005   2.05546E-007   4.63966E-005  -3.00614E-005   5.40395E-005  -7.42032E-005   4.99911E-005  -4.44838E-005   4.08874E-005  -1.01331E-004   5.49341E-005   1.26703E-004   7.02451E-005   3.33381E-005   6.79286E-005   3.63944E-005   1.32752E-004   1.60428E-004   1.47964E-004   1.02809E-004   3.19043E-004
-1.41148E+001   1.43685E-004   9.34115E-005   4.94795E-005   6.39072E-005  -4.74029E-006   4.78449E-005  -6.77194E-005   8.98424E-005  -1.45878E-004   1.00709E-004  -4.53703E-005   7.62224E-005   1.88001E-005   5.25660E-005   1.60981E-005   6.33145E-005  -1.04443E-004   5.17725E-005   4.22748E-005   5.27785E-005  -2.27320E-005   6.79968E-005   2.43517E-005   6.87008E-005   2.64511E-005   7.41669E-005   1.97070E-004   1.59529E-004  -7.58120E-005   1.44379E-004   3.04715E-004   3.67044E-004
-1.40171E+001   1.68573E-004   8.71303E-005  -2.43333E-005   5.76244E-005   5.62837E-005   4.58413E-005  -8.22883E-006   8.58902E-005   5.37361E-005   1.07653E-004  -1.22408E-005   7.31165E-005  -3.24016E-005   4.46543E-005  -7.14851E-005   5.15411E-005   2.97596E-005   5.99338E-005   3.00105E-005   4.78777E-005   2.44066E-006   6.49871E-005   1.85495E-004   7.58364E-005  -1.95014E-005   6.47874E-005   1.28801E-004   1.42472E-004   7.81326E-005   1.44960E-004   3.39489E-005   3.19613E-004
-1.39194E+001   5.29036E-005   8.28257E-005   1.73689E-004   6.08483E-005   3.27613E-005   4.47038E-005  -2.85351E-005   8.39152E-005  -2.29489E-005   1.01065E-004   3.05284E-005   7.54924E-005   9.35000E-006   4.73555E-005  -2.00595E-005   5.50951E-005   8.45220E-006   5.74915E-005  -7.62481E-005   3.80427E-005   1.09534E-005   6.49069E-005   1.35716E-005   6.19136E-005   9.92300E-005   7.34572E-005   1.46021E-005   1.31788E-004   9.26883E-005   1.44314E-004   2.15202E-004   3.29317E-004
-1.38217E+001   1.23639E-004   9.48025E-005   1.04101E-004   6.64628E-005   1.27524E-005   4.93386E-005  -3.11359E-005   9.35408E-005  -6.60604E-005   1.09288E-004  -1.75522E-006   8.15590E-005   7.71026E-005   5.83700E-005   9.49853E-006   6.40826E-005   5.43029E-005   6.83828E-005   4.35676E-005   5.40695E-005  -1.26269E-005   7.02905E-005  -5.27744E-006   6.73220E-005   9.46263E-005   8.17296E-005  -1.24146E-005   1.44635E-004  -9.28893E-005   1.45652E-004  -4.42746E-004   3.09010E-004
-1.37241E+001  -2.62589E-005   7.48694E-005   3.03592E-005   5.40034E-005   1.23394E-005   4.11002E-005   2.50236E-004   8.95138E-005  -1.65089E-004   8.39034E-005   7.20789E-005   7.31176E-005   5.53911E-005   4.72200E-005  -8.93413E-005   4.57914E-005   1.17193E-005   5.37509E-005   1.40730E-005   4.28600E-005   9.51870E-005   6.65192E-005  -5.50883E-005   5.18646E-005  -4.34470E-005   5.75597E-005   1.96189E-005   1.23010E-004  -7.62655E-005   1.22579E-004  -1.66292E-004   2.79147E-004
