     X         I1 (Y=0.3254)     Error1      I2 (Y=0.4002)     Error2      I3 (Y=0.4999)     Error3      I4 (Y=0.5963)     Error4      I5 (Y=0.6986)     Error5      I6 (Y=0.7998)     Error6      I7 (Y=0.9002)     Error7       I8 (Y=1.000)     Error8       I9 (Y=1.100)     Error9      I10 (Y=1.200)    Error10      I11 (Y=1.300)    Error11      I12 (Y=1.400)    Error12      I13 (Y=1.500)    Error13      I14 (Y=1.600)    Error14      I15 (Y=1.700)    Error15      I16 (Y=1.801)    Error16      I17 (Y=1.901)    Error17      I18 (Y=2.001)    Error18      I19 (Y=2.075)    Error19    
-1.69153E+000   5.14733E+000   3.99998E+000   2.40768E+000   2.15209E+000   7.80186E-001   7.88093E-001   1.25001E-001   7.61987E-002   6.43742E-002   3.10869E-002   8.12984E-002   4.23844E-002   1.36105E-001   5.87187E-002   1.31354E-001   5.84679E-002   8.47376E-002   4.67092E-002   7.66301E-002   4.35987E-002   1.30688E-001   5.71188E-002   1.42328E-001   5.81765E-002   1.36762E-001   5.65875E-002   1.23969E-001   5.39421E-002   1.39326E-001   5.51844E-002   1.82920E-001   6.22567E-002   1.90853E-001   6.39161E-002   1.62511E-001   6.30163E-002   2.18898E-001   8.44965E-002
-1.67708E+000   5.06249E+000   3.55734E+000   4.64689E+000   2.68525E+000   1.18472E+000   1.13689E+000   1.15014E-001   6.10184E-002   9.09150E-002   3.86629E-002   9.87876E-002   4.68414E-002   1.35554E-001   5.88629E-002   1.54977E-001   6.35609E-002   8.34374E-002   4.63306E-002   9.57341E-002   4.88607E-002   1.31453E-001   5.77158E-002   1.28936E-001   5.58065E-002   1.53503E-001   6.02441E-002   1.25444E-001   5.43287E-002   1.44369E-001   5.65051E-002   2.04440E-001   6.60417E-002   2.06588E-001   6.52492E-002   1.90761E-001   6.54505E-002   1.43928E-001   6.81254E-002
-1.66270E+000   4.04207E+000   3.29880E+000   4.13743E+000   2.68464E+000   1.20838E+000   1.14147E+000   1.34387E-001   8.26949E-002   1.08280E-001   4.33907E-002   1.25102E-001   5.60549E-002   8.38159E-002   4.66856E-002   8.18813E-002   4.58291E-002   9.71412E-002   4.95823E-002   1.17411E-001   5.48126E-002   1.32951E-001   5.81049E-002   1.20486E-001   5.42250E-002   1.49736E-001   5.94760E-002   1.30117E-001   5.45658E-002   1.56812E-001   5.95600E-002   2.01718E-001   6.58673E-002   2.04419E-001   6.48571E-002   1.43106E-001   5.67198E-002   9.69693E-002   5.73423E-002
-1.64838E+000   6.79214E+000   5.00100E+000   3.25284E+000   2.59970E+000   1.04630E+000   8.71663E-001   1.95815E-001   1.14466E-001   1.02303E-001   4.34352E-002   8.03156E-002   4.43928E-002   6.34995E-002   4.05798E-002   1.16766E-001   5.36714E-002   1.60458E-001   6.45263E-002   1.26500E-001   5.66622E-002   1.54713E-001   6.15183E-002   1.62254E-001   6.37313E-002   1.40062E-001   5.77709E-002   1.42845E-001   5.67601E-002   1.46840E-001   5.74658E-002   1.83596E-001   6.28598E-002   1.59057E-001   5.75561E-002   1.03727E-001   5.02667E-002   1.05378E-001   6.06717E-002
-1.63412E+000   3.01162E+000   3.02552E+000   3.01640E+000   2.21111E+000   1.04928E+000   8.92638E-001   1.91507E-001   1.09717E-001   8.14374E-002   3.94933E-002   1.14568E-001   5.54572E-002   1.10199E-001   5.31895E-002   1.80919E-001   6.68359E-002   1.78570E-001   6.80560E-002   1.87102E-001   6.93403E-002   2.06473E-001   7.11318E-002   1.73378E-001   6.61074E-002   1.34045E-001   5.65243E-002   1.81264E-001   6.37905E-002   1.55643E-001   5.87000E-002   1.57790E-001   5.84545E-002   1.81257E-001   6.24108E-002   1.49290E-001   5.94471E-002   1.65442E-001   7.30918E-002
-1.61993E+000   3.22499E+000   2.78109E+000   3.42202E+000   2.31762E+000   1.06799E+000   1.04027E+000   1.60571E-001   9.08430E-002   8.54635E-002   3.92339E-002   9.47480E-002   4.68034E-002   1.27288E-001   5.62389E-002   1.50079E-001   6.21547E-002   1.55910E-001   6.39704E-002   1.44967E-001   6.13562E-002   1.51658E-001   6.09853E-002   1.36375E-001   5.74293E-002   1.31601E-001   5.61864E-002   1.63893E-001   6.20545E-002   1.82333E-001   6.41649E-002   1.78343E-001   6.23230E-002   1.78887E-001   6.19760E-002   1.97820E-001   6.69479E-002   1.24071E-001   6.22962E-002
-1.60580E+000   5.29715E+000   3.88289E+000   3.19226E+000   2.37766E+000   9.38609E-001   8.76369E-001   1.61833E-001   9.08649E-002   9.81858E-002   4.14563E-002   9.42836E-002   4.67283E-002   9.60179E-002   4.95024E-002   1.30835E-001   5.88671E-002   1.76457E-001   6.84996E-002   1.17648E-001   5.49595E-002   1.50244E-001   6.01554E-002   1.54463E-001   6.08497E-002   1.68180E-001   6.38264E-002   1.82334E-001   6.60115E-002   2.08641E-001   6.85211E-002   1.72633E-001   6.12803E-002   1.61856E-001   5.83825E-002   1.56989E-001   6.10776E-002   1.55339E-001   7.44325E-002
-1.59173E+000   4.81115E+000   3.78442E+000   2.28650E+000   2.04333E+000   7.22508E-001   7.01658E-001   1.67308E-001   8.04929E-002   1.00118E-001   4.48658E-002   1.26611E-001   5.52155E-002   7.84506E-002   4.52573E-002   8.77088E-002   4.83186E-002   1.43235E-001   6.17405E-002   1.32566E-001   5.77095E-002   1.14690E-001   5.32743E-002   1.56804E-001   6.15622E-002   1.65367E-001   6.34579E-002   2.02246E-001   7.00808E-002   1.73906E-001   6.34016E-002   1.57278E-001   5.86882E-002   1.88187E-001   6.26123E-002   1.78225E-001   6.48883E-002   1.36775E-001   6.94777E-002
-1.57772E+000   3.06257E+000   2.76467E+000   3.33715E+000   2.19688E+000   9.20864E-001   8.34994E-001   1.53928E-001   6.42502E-002   9.11487E-002   4.14149E-002   8.28200E-002   4.48824E-002   8.51899E-002   4.78148E-002   7.84854E-002   4.61131E-002   1.24277E-001   5.74282E-002   1.11817E-001   5.31278E-002   1.37416E-001   5.92582E-002   1.84904E-001   6.73631E-002   1.55448E-001   6.15003E-002   2.08584E-001   7.14310E-002   1.57315E-001   6.08924E-002   1.22957E-001   5.20708E-002   1.59586E-001   5.79775E-002   1.82430E-001   6.61667E-002   1.79892E-001   7.97953E-002
-1.56377E+000   4.22471E+000   3.55897E+000   2.64969E+000   1.98189E+000   8.11777E-001   7.25991E-001   1.45982E-001   6.23885E-002   8.56582E-002   3.96350E-002   9.30374E-002   4.82978E-002   1.08872E-001   5.44592E-002   1.33187E-001   6.02103E-002   1.00373E-001   5.12490E-002   1.17511E-001   5.46109E-002   1.49667E-001   6.19970E-002   2.27355E-001   7.48297E-002   2.09009E-001   7.09215E-002   2.35776E-001   7.44593E-002   1.67340E-001   6.25243E-002   1.57748E-001   5.85462E-002   1.59905E-001   5.91651E-002   1.98502E-001   6.89131E-002   1.84479E-001   7.84080E-002
